date;heure;dept;com;adresse;carr;segm;lieu_1_nomv;lieu_2_nomv;vehicule_1_cadmin;vehicule_1_lveh;vehicle_2_cadmin;vehicule_2_lveh;vehicule_3_cadmin;vehicule_3_lveh;usager_1_catu;usager_1_grav;usager_1_lveh;usager_2_catu;usager_2_grav;usager_2_lveh;usager_3_catu;usager_3_grav;usager_3_lveh;usager_4_catu;usager_4_grav;usager_4_lveh
2013-01-28;10:00;75;120;0, AVENUE LEON GAUMONT;;;AVENUE LEON GAUMONT;;VL;A;;;;;Piéto;BL;A;Cond;Indem;A;;;;;;
2013-05-31;09:00;75;120;2, AVENUE BENOIT FRACHON;;;AVENUE LEON GAUMONT;;Moto50-125;A;;;;;Cond;BL;A;Piéto;BL;A;;;;;;
2013-06-28;18:45;75;120;40, RUE DES PYRENEES;;;RUE DES PYRENEES;;VL;A;Bus;B;;;Cond;Indem;A;Pass;BL;A;Cond;Indem;B;;;
2012-06-21;13:28;75;120;45TER, BOULEVARD DAVOUT;;;BOULEVARD DAVOUT;;Scoo<=50;A;VU;B;;;Cond;BL;A;Cond;Indem;B;;;;;;
2013-04-22;20:10;75;120;39, BOULEVARD DAVOUT;;;BOULEVARD DAVOUT;;Moto>125;A;;;;;Cond;BL;A;;;;;;;;;
2013-09-19;13:15;75;120;PORTE DE MONTREUIL;;;BD PERIPHERIQUE INTERIEUR;;VL;A;Moto>125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;
2013-08-10;17:25;75;120;50, AVENUE DU PROFESSEUR;;;AVENUE DU PROFESSEUR ANDRE LEMIERE;;Scoo<=50;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;
2012-09-16;01:05;75;120;10, AVENUE DU PROFESSEUR;;;AVENUE DU PROFESSEUR ANDRE LEMIERE;;VL;A;VL;B;;;Cond;BL;B;Pass;BL;B;Cond;Indem;A;;;
2012-06-18;11:40;75;120;106, RUE DES HAIES;;;RUE DES HAIES;;Cyclo;A;;;;;Cond;BL;A;;;;;;;;;
2012-02-21;16:00;75;120;62, RUE DES PYRENEES;;;RUE DES PYRENEES;;Scoo>125;A;;;;;Cond;BL;A;Piéto;BL;A;;;;;;
